acl 2.2.53-1
acpi 1.7-2
adwaita-icon-theme 3.30.1-1
alacritty 0.2.4-1
alsa-lib 1.1.7-2
alsa-plugins 1.1.7-3
ansible 2.7.5-1
aom 1.0.0-1
apparmor 2.13.2-1
arandr 0.1.9-3
archlinux-keyring 20181218-1
argon2 20171227-3
asciidoc 8.6.10-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atool 0.39.0-6
attr 2.4.48-1
audiofile 0.3.6-4
audit 2.8.4-2
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
bash 4.4.023-1
bc 1.07.1-2
bind 9.13.5-1
bind-tools 9.13.5-1
binutils 2.31.1-3
bison 3.2-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-utils 5.50-3
boost-libs 1.68.0-2
bridge-utils 1.6-3
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.41-1
ca-certificates-utils 20181109-1
cairo 1.16.0-1
calcurse 4.3.0-1
cantarell-fonts 1:0.111-1
chromium 71.0.3578.98-2
cifs-utils 6.8-2
clucene 2.3.3.4-10
cmake 3.13.1-1
cmark-gfm 0.28.3.gfm.19-1
code 1.30.1-1
colord 1.4.3-2
containerd 1.2.0-2
coreutils 8.30-1
cpupower 4.19-1
cracklib 2.9.6-3
cryptsetup 2.0.6-1
cups 2.2.10-1
cups-filters 1.21.6-1
curl 7.63.0-2
db 5.3.28-4
dbeaver 5.2.4-1
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.30.1-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.183-1
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.6-2
djvulibre 3.5.27-4
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
docker 1:18.09.0-2
dosfstools 4.1-2
double-conversion 3.1.1-1
dunst 1.3.2-1
e2fsprogs 1.44.5-1
editorconfig-core-c 0.12.3-1
electron 3.0.13-1
electron2 2.0.15-1
elixir 1.7.4-1
emacs 26.1-2
erlang-nox 21.2-1
